B8,B11,B12,B2,B3,B4,B5,EVI,GNDVI,NDRE,NDVI,SAVI,MSAVI,NDMI,inferred_stage,health_status
2592.76,3597.02,2211.08,565.82,831.26,1011.18,1459.94,0.9770909583771974,0.5118520881999999,0.27544380220000003,0.4349720912,0.6523673499511049,0.5978063646487408,-0.1629967340708625,maturation,1
2693.46,3724.58,2340.06,761.14,1010.96,1165.26,1671.14,0.8730512527466685,0.4899820952,0.2489995734,0.42368802190000004,0.6354425773374445,0.5828527997345554,-0.16696500030991118,maturation,1
2629.76,3620.94,2255.34,710.68,962.26,1115.38,1593.1,0.8331175864581628,0.4909729565,0.2560157069,0.4244213952,0.6365414796550354,0.5848073196715632,-0.1634597697692898,maturation,1
2753.8,3963.36,2566.1,788.38,1084.22,1356.28,1840.86,0.6210625927400371,0.46115476392,0.20932526312,0.3572909287,0.5358669757043145,0.5174065746744054,-0.18323972918914727,uncertain_vegetative,0
2471.68,3624.88,2296.38,615.58,869.4,1127.14,1560.66,0.8101010691130591,0.4782093418,0.22500951,0.3750690364,0.562524785117849,0.5365546145155168,-0.18507078913092784,uncertain_vegetative,0
2366.54,3393.98,2108.16,553.52,798.06,1047.44,1480.82,0.8591604424483914,0.4987269826,0.2343439664,0.3994329586,0.5990530352148987,0.559181253711713,-0.16568980579879514,uncertain_vegetative,0
2397.8,3959.98,2697.06,637.8,890.54,1246.3,1623.58,0.610091493808561,0.4557652076,0.19100682496000002,0.316027976,0.4739767096894926,0.46886767660757867,-0.2424772883521711,uncertain_vegetative,0
2418.32,3444.38,2165.64,576.86,835.68,1089.96,1504.42,0.8097540484038543,0.487160919,0.2369133944,0.3863050406,0.5793721352030965,0.547493114119252,-0.16298032819777816,uncertain_vegetative,0
2441.88,3492.16,2184.28,569.46,829.48,1038.66,1494.34,0.8562597790259727,0.49118547059999995,0.240049841,0.4048478188,0.6071838402938529,0.5668183447830688,-0.17179911129603784,maturation,1
2206.96,3502.4,2318.6,516.74,731.16,907.74,1299.98,0.8848044726700107,0.487486229,0.2432339546,0.40056854979999995,0.6007579872651242,0.5540345068978059,-0.22998423347638736,maturation,1
446.78,520.18,302.16,171.2,232.56,235.92,456.14,1.208525994562252,0.3174707798,-0.012777211362000001,0.30978479919999996,0.46432917269350477,0.46983504454428043,-0.07621177067577645,uncertain_vegetative,0
2424.58,3230.22,1979.06,496.22,738.16,805.68,1278.82,1.1829040176443366,0.5306600022,0.30701659119999997,0.500717627,0.7509598859822476,0.6599978798642132,-0.13887060178393254,maturation,1
277.45454545454544,261.1818181818182,150.0909090909091,193.8181818181818,247.0,225.45454545454547,244.72727272727272,0.8360704460837318,0.05035759524545455,0.05856230936363637,0.09602824090909091,0.14390369497502575,0.16979344156084927,0.026069439874673136,uncertain_vegetative,0
2543.5,3650.08,2293.26,599.7,870.42,1082.24,1572.32,0.9320082577007638,0.4913417858,0.2418364034,0.4128997792,0.6192576757421531,0.5746115725390155,-0.1642233618661244,maturation,1
2712.76,3816.5,2364.84,632.86,903.86,1169.68,1672.52,0.8439095718284176,0.4974526158,0.2367125788,0.3994611664,0.5991137005877196,0.558971419172749,-0.16225530675487365,uncertain_vegetative,0
2618.8,3550.52,2140.0,581.76,838.72,1053.64,1544.72,0.930112294902337,0.510732343,0.255551647,0.426773838,0.6400727881935093,0.5841131444297116,-0.14436884257149094,maturation,1
2626.62,3550.52,2140.0,565.94,833.96,1038.86,1544.72,0.9323827580252818,0.5140156224,0.25712931099999997,0.4336555912,0.6503939364402911,0.5913750374749724,-0.14270846143448626,maturation,1
2738.88,3578.3,2329.32,612.38,881.04,1184.0,1545.3,0.9069114933399564,0.49965373479999997,0.27182876522,0.39301446419999997,0.5894420378012415,0.5207928104347593,-0.1335873122034155,uncertain_vegetative,0
2719.2,3572.68,2325.62,615.88,868.98,1159.56,1527.74,0.9359926427197942,0.500859678,0.27393826986,0.39792045020000005,0.5967997522270374,0.5271040835021904,-0.134348279602416,uncertain_vegetative,0
2536.56,3613.5,2351.88,544.58,780.82,1026.74,1404.5,0.8821873786698188,0.5166792628,0.27580062240000003,0.41405475100000005,0.620993043604582,0.5684565608162302,-0.17938629268436393,uncertain_vegetative,0
2398.98,3714.02,2495.26,623.8,872.46,1221.92,1568.82,0.6774730009950463,0.4553093438,0.20008609108000003,0.318198826,0.4772266119235642,0.4542480454398492,-0.2278761565595405,uncertain_vegetative,0
2650.62,3827.62,2562.16,684.74,961.28,1306.34,1624.72,0.7436700579841606,0.45809927520000004,0.23305271292000002,0.3381001818,0.5070800607370726,0.4750514010413917,-0.19165976662396514,uncertain_vegetative,0
2553.34,3734.96,2490.28,611.08,841.98,1136.26,1521.48,0.8343155947655099,0.491868311,0.2490056966,0.37905008440000004,0.5684929955553641,0.528590308754824,-0.19371654082597348,uncertain_vegetative,0
2527.18,3845.64,2574.9,673.4,918.12,1268.22,1582.36,0.7285279261271437,0.4562473326,0.21859663244,0.32720555599999995,0.49073757634360293,0.46291464762337,-0.21923185848891533,uncertain_vegetative,0
2581.12,3886.34,2601.26,693.54,965.7,1356.18,1721.16,0.6868514544519008,0.4498134556,0.19746393618,0.3153740028,0.47299328041146366,0.44874472911621976,-0.209626163193898,uncertain_vegetative,0
2506.44,2599.28,1464.96,423.12,670.18,760.3,1055.62,1.1912806344810065,0.5746023346,0.40374338719999997,0.5336495326,0.8003491159524916,0.6883716816949027,-0.020523933390875337,vegetative,0
2518.62,3840.16,2569.16,655.74,921.66,1311.28,1665.76,0.6693655698538227,0.45623115,0.197760673,0.3143739094,0.47149180331032353,0.44782484112414295,-0.2180400904414386,uncertain_vegetative,0
2640.08,3936.96,2621.72,721.22,999.54,1421.78,1765.94,0.6652757439938007,0.4441209858,0.19675508916,0.3040069304,0.4559473532729226,0.4344374414776848,-0.20121924592376905,uncertain_vegetative,0
2606.72,3968.88,2651.7,711.0,995.32,1413.12,1754.38,0.6498514382563482,0.44203912219999997,0.1950370052,0.302073841,0.4530476511239694,0.4326128419312272,-0.21001872693127305,uncertain_vegetative,0
2618.74,4017.52,2667.2,679.24,968.72,1397.14,1755.54,0.6405791979045965,0.45301505140000004,0.19431192768,0.3073470414,0.4609564882347063,0.4391018378490344,-0.21482116209295954,uncertain_vegetative,0
2706.86,4068.06,2739.64,722.58,1019.48,1475.18,1858.68,0.6353202507967919,0.4507140292,0.1891644418,0.302431369,0.45358517414951277,0.43356164639233613,-0.204125877060113,uncertain_vegetative,0
2834.34,3823.2,2389.7,597.54,897.28,1138.74,1699.8,0.9100767936338626,0.5147142398,0.2476087518,0.4282883442,0.6423508644924775,0.5811523552659491,-0.14098605374675094,maturation,1
2899.96,3842.8,2374.64,588.38,903.44,1138.32,1700.62,0.9408779930630238,0.5226942672,0.2601491802,0.4415839916,0.6622923906483505,0.5956202366649086,-0.13092683390807636,maturation,1
2842.94,3843.12,2374.84,590.02,889.44,1146.56,1660.34,0.8940204288789017,0.5212681974,0.2622420338,0.42976546139999994,0.6445658448518939,0.585808855954756,-0.141663948177986,maturation,1
2605.42,3302.1,1959.46,536.74,822.7,1014.22,1532.28,0.9235165211192179,0.5159131268,0.2552370568,0.437351854,0.6559371859020849,0.5961600580079994,-0.11452648830860955,maturation,1
2584.74,3224.44,1894.92,510.48,799.46,955.34,1536.46,0.9825924512764367,0.5235650014000001,0.2502571342,0.4573611344,0.685945111375363,0.6157587652527764,-0.1061746386446941,maturation,1
2549.2,3306.88,1966.98,530.02,806.24,992.48,1493.84,0.916586462022456,0.5161697942,0.2573269126,0.43762244780000004,0.6563409795084236,0.5980440332328181,-0.12585143064766866,maturation,1
2630.36,3646.3,2207.28,591.2,856.52,1122.38,1588.44,0.8374084570023064,0.5055577102000001,0.2446553786,0.403131012,0.6046149148071727,0.5607517779116097,-0.1557925690575736,maturation,1
2646.08,3446.18,2099.68,583.7,845.98,1019.16,1534.58,0.9876275779929591,0.5121954326,0.2638183804,0.4433597534,0.6649483265834352,0.6043194029372262,-0.127568756817389,maturation,1
2678.86,3226.86,1873.68,494.82,756.34,869.42,1417.1,1.1585533301447115,0.5538532384,0.3026421548,0.5059936288,0.7588834669186081,0.6587842138669475,-0.09094418092026306,vegetative,0
459.1904761904762,745.0,442.85714285714283,262.3333333333333,485.95238095238096,281.9047619047619,480.7142857142857,0.8991402638932215,-0.040980390095238094,-0.03962538004761905,0.2278194925238095,0.3414927799081373,0.3536651496384268,-0.24722067180248583,emergence,0
3182.0833333333335,4016.6666666666665,2596.2916666666665,1333.8333333333333,1576.5,1886.25,2075.125,0.8844181483557941,0.34502921124999997,0.214768835,0.26500781333333334,0.3974705515836056,0.4090595678549486,-0.11033097878474335,uncertain_vegetative,0
2818.0,3176.2083333333335,1836.2083333333333,490.375,782.0,870.0833333333334,1442.4583333333333,1.1645439189846478,0.5598365475,0.31742049083333335,0.5233644404166666,0.7849404871668324,0.6766443738021243,-0.0592091657240038,vegetative,0
2896.4166666666665,3146.625,1929.5,533.7916666666666,840.125,1028.5833333333333,1612.25,1.0177459104827549,0.54573633375,0.28160501833333335,0.47509125958333337,0.7125458352857784,0.6297356541203195,-0.03653710651147341,maturation,1
