system:index,B11,B12,B2,B3,B4,B5,B8,EVI,GNDVI,NDRE,NDVI,SAVI,date,.geo
20220901T140721_20220901T140948_T20HMH_2_0,3030,2511,658,872,1114,1290,1800,0.4830985915492958,0.3473054,0.16504854,0.23541524,0.3530622748327329,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.13506526946567,-33.71148550584565]}"
20220901T140721_20220901T140948_T20HMH_7_0,3427,2889,927,1232,1674,1994,2664,0.4299487535829063,0.36755648,0.14383855,0.22821577,0.3422841996081595,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.94424346217112,-33.93666485326636]}"
20220901T140721_20220901T140948_T20HMH_13_0,3318,2775,884,1054,1316,1494,1926,0.4776072658941435,0.29261744,0.12631579,0.18815546,0.28218966846569005,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.98668197547547,-33.86364248915249]}"
20220901T140721_20220901T140948_T20HMH_24_0,2887,2361,760,933,1164,1458,2188,0.7371148862654765,0.40211472,0.20021942,0.30548927,0.458165548098434,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.03613292113724,-33.885332098731126]}"
20220901T140721_20220901T140948_T20HMH_27_0,2116,1156,428,701,568,1137,3544,1.987710392733102,0.6697291,0.51420635,0.7237354,1.0854711246200608,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.89708906100724,-33.807391291030314]}"
20220901T140721_20220901T140948_T20HMH_45_0,4284,3050,1052,1444,2126,2493,3208,0.33498452012383895,0.37919176,0.12541659,0.20284964,0.3042459461992689,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.091983854632026,-33.99508657806096]}"
20220901T140721_20220901T140948_T20HMH_61_0,294,242,283,455,351,968,1080,1.7120713950211366,0.40716612,0.0546875,0.509434,0.7638840377226686,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.72687195515791,-33.796995243822046]}"
20220901T140721_20220901T140948_T20HMH_66_0,3351,2963,954,1176,1572,1743,2182,0.3419282511210763,0.29958308,0.11184713,0.16249333,0.24370755093887336,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.97554317408662,-33.85381067062613]}"
20220901T140721_20220901T140948_T20HMH_93_0,3157,2673,778,952,1256,1431,1826,0.40391156462585037,0.31461483,0.12127725,0.18494484,0.2773722627737226,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.40169223550916,-33.49173437109175]}"
20220901T140721_20220901T140948_T20HMH_113_0,3400,2857,1178,1388,1794,1846,2646,0.465472027972028,0.31184927,0.17809439,0.1918919,0.28780542731674363,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.26184247777136,-33.94920656134496]}"
20220901T140721_20220901T140948_T20HMH_120_0,3176,2944,818,1072,1482,1735,2100,0.3180321119802388,0.32408574,0.09517601,0.17252931,0.2587578506629449,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-63.77653854625029,-33.794167322727304]}"
20220901T140721_20220901T140948_T20HMH_142_0,3202,2671,806,980,1306,1563,2024,0.47038784067085954,0.34753662,0.12851965,0.21561562,0.3233748686383426,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.94529607374055,-34.114518220515684]}"
20220901T140721_20220901T140948_T20HMH_193_0,3031,2433,724,910,1178,1418,2042,0.58679706601467,0.38346884,0.18034682,0.26832297,0.4024219841639497,1.66204213724E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.01968185932259,-33.68363114110453]}"
