system:index,B11,B12,B2,B3,B4,B5,B8,EVI,GNDVI,NDRE,NDVI,SAVI,date,.geo
20230101T135659_20230101T135702_T21LWK_0_0,2207,1843,1260,1328,1202,1570,3120,5.43035107587769,0.4028777,0.3304904,0.44377604,0.665587044534413,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.272672376367076,-10.03630796799624]}"
20230101T135659_20230101T135702_T21LWK_3_0,3206,1735,563,958,778,1541,3592,1.7419834096818128,0.5789011,0.3995714,0.6439359,0.9657933874842696,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.06600142852376,-10.036152142891687]}"
20230101T135659_20230101T135702_T21LWK_6_0,3573,2936,3204,3038,2768,3420,4668,-1.7253904831093352,0.21152349,0.15430267,0.25551373,0.3832448060243394,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.472415409763556,-10.03768067793334]}"
20230101T135659_20230101T135702_T21LWK_8_0,3672,3106,2392,2448,2128,2670,4668,-12.624254473161034,0.311973,0.2722813,0.37374926,0.5605826528360185,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.169565285250954,-10.035613671529582]}"
20230101T135659_20230101T135702_T21LWK_9_0,4345,3744,4440,4280,4064,4635,5472,-1.0223642172523961,0.122231334,0.08281389,0.147651,0.22146489802338384,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.44649964921238,-10.037909764892182]}"
20230101T135659_20230101T135702_T21LWK_11_0,3591,2961,3168,3068,2842,3419,4832,-2.6533333333333333,0.22329114,0.17125197,0.2593172,0.38895042022281584,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.491671007258624,-10.03671588565005]}"
20230101T135659_20230101T135702_T21LWK_14_0,494,272,153,174,157,404,470,2.947269303201507,0.45962733,0.075514875,0.49920255,0.748207171314741,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.01262142045669,-10.037173162501539]}"
20230101T135659_20230101T135702_T21LWK_20_0,2546,1830,1556,1662,1402,1986,4016,8.610013175230566,0.4145826,0.3382206,0.48246586,0.7236320014764234,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.52032583270127,-10.0354923667599]}"
20230101T135659_20230101T135702_T21LWK_21_0,2394,1127,465,824,481,1384,3972,2.5886104107963814,0.6563803,0.4831964,0.7839659,1.1758167733243516,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.568320240036776,-10.038542916328668]}"
20230101T135659_20230101T135702_T21LWK_22_0,4330,3731,4356,4168,3984,4571,5404,-1.0562332639095509,0.12912662,0.083508775,0.15125692,0.22687330244447995,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.453893101377545,-10.036655838363092]}"
20230101T135659_20230101T135702_T21LWK_23_0,2679,2024,1620,1744,1496,2111,4184,6.646884272997032,0.41160592,0.329309,0.47323942,0.7097966728280961,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.52470431435197,-10.036583980294244]}"
20230101T135659_20230101T135702_T21LWK_26_0,4457,3899,4380,4264,4152,4829,5484,-1.3575214023644517,0.12515388,0.06351207,0.13823164,0.20733668863176463,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.441030646839735,-10.034373374849357]}"
20230101T135659_20230101T135702_T21LWK_27_0,3198,2008,1076,1318,1034,1860,4416,3.314386515092121,0.540286,0.40726578,0.62055045,0.9307402990551326,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.99975724605936,-10.036863316938634]}"
20230101T135659_20230101T135702_T21LWK_28_0,2030,929,421,720,388,1141,4132,2.8333585591039805,0.7032152,0.5672293,0.8283186,1.242340449065369,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.565767693920634,-10.036640279184768]}"
20230101T135659_20230101T135702_T21LWK_31_0,2447,1675,1282,1334,1122,1776,4016,6.380070546737214,0.5013084,0.38674033,0.5632542,0.8447990658752554,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.50216422045117,-10.037184012470915]}"
20230101T135659_20230101T135702_T21LWK_32_0,2805,1374,470,836,550,1390,4572,2.3125574977000922,0.6908284,0.5337135,0.7852401,1.1777452415812593,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.16591271205108,-10.036689745087122]}"
20230101T135659_20230101T135702_T21LWK_33_0,4809,4043,4696,4464,4284,4887,5688,-0.9171674941207211,0.120567374,0.07574468,0.14079422,0.2111807470543996,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.384083513217526,-10.038251927279681]}"
20230101T135659_20230101T135702_T21LWK_35_0,3706,2946,3936,3708,3328,3716,5156,-1.0398179749715586,0.1633574,0.16230838,0.2154644,0.3231775590783193,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.472328259447835,-10.035148165550932]}"
20230101T135659_20230101T135702_T21LWK_36_0,3157,2687,2446,2378,2192,2757,4288,-5.79646017699115,0.28652865,0.21731725,0.3234568,0.4851477509451431,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.48418511477228,-10.038784496464842]}"
20230101T135659_20230101T135702_T21LWK_37_0,2600,1927,1904,1906,1630,2160,3828,-8.189269746646795,0.33519357,0.27855712,0.40271163,0.6040120912338555,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.545055869035366,-10.034894103936663]}"
20230101T135659_20230101T135702_T21LWK_41_0,2848,1387,366,708,328,1441,5456,2.7393162393162394,0.77027905,0.58213717,0.8865837,1.3297605670325872,1.672581914911E12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.67016064585075,-10.037031847800986]}"
